name,lat,long,download,upload,tester
Three Fins,41.6666971,-70.1609582,62,22,breck
Boston Logan Airport,42.3646928547037,-71.02112806752719,19,93,breck
San Jose Airport,37.36966602158916,-121.92932413512496,179,107,breck
Internet Archive,37.7823321,-122.4716172,22,14,breck
Diamond Coffee,37.7828356,-122.4701958,52,16,breck
Telve,37.7971101,-122.4348059,325,28,breck
Union Street Coffee,37.7970318,-122.4353219,2,2,breck
neon,37.797596106251746,-122.43180588732922,444,367,breck
Avotoasty,37.797978427599794,-122.42889955931881,143,105,breck
Pizza Hut,21.497159655264284,-158.02575474726638,123,6,breck
Denny's,37.6502074,-122.4078922,11,1,breck
Wendy's,37.6521506,-122.4019952,28,44,breck
Starbucks,37.50647967583595,-122.26114072634795,10,3,breck
Peets,37.505319750460956,-122.25956720643686,10,4,breck
Marsha's,37.5081677,-122.2527167,72,71,breck
Mel's,37.7995474,-122.4371366,59,59,breck
Brecks,37.7833084,-122.4617939,127,16,breck
Chestnut Coffee Roastery,37.7999618,-122.4417843,52,31,breck
Starbucks,37.7859444,-122.4398126,9,3,breck
Flywheel Coffee,37.769689,-122.4533474,17,4,breck
Whole Foods,37.76952679211822,-122.45328055697682,28,48,breck
Peets,37.80067682626241,-122.4378880382802,16,3,breck
Peets,37.78636404014725,-122.40507123224299,7,1,breck
SFMOMA,37.7858003,-122.4008622,2,3,breck
San Francisco Public Library Mission Bay,37.7753941,-122.3930725,328,62,breck
Philz Coffee,37.775669528045945,-122.39352739100818,27,6,breck
Starbucks,37.77121345941035,-122.38936122885299,12,11,breck
Philz,37.76739,-122.3889827,26,5,breck
Caffe Central,37.76651554301294,-122.3890636075024,19,15,breck
Wooly Pig,37.7606356,-122.388348,30,36,breck
CoffeeShop,37.7579733,-122.3904079,126,246,breck
Rose Pak Station,37.79472351,-122.40810394,127,85,breck
The Coffee Berry,37.8014222,-122.4249937,24,6,breck
Starbucks,37.7976145,-122.4304451,9,4,breck
Starbucks,37.8044845,-122.4337407,12,3,breck
Starbucks,37.796850741103135,-122.4219298450337,8,3,breck
Peets,37.79657094884253,-122.42190330884763,18,4,breck
UpForDayz,37.7933273,-122.4214276,6,1,breck
Moka,37.791686524535365,-122.42094594337294,90,12,breck
Gusto,37.789579380002614,-122.41371646200402,150,38,breck
Apple Store,37.78826777427602,-122.40723747299204,81,77,breck
Wendys,21.495447331924655,-158.0293791874666,18,8,breck
Starbucks,21.290925454817362,-157.8417963738898,6,6,breck
Lanai,21.29093012685027,-157.84177257144543,8,4,breck
Macys,21.29056455871551,-157.84202592355044,4,3,breck
Nordstrom EBar,21.29241968716011,-157.84639317866265,75,21,breck
Island Brew,21.291953177568292,-157.84570465268646,75,90,breck
Starbucks,21.29285389695125,-157.84494632611583,3,4,breck
LAX Wifi,33.9357803,-118.404615,30,76,breck
Hyatt Regency,37.5940193896301,-122.36528265579058,54,36,breck
SFO,37.6161694,-122.3895568,143,169,breck
Pancho Villa,37.7649677230864,-122.42108033718189,19,18,breck
USS Hornet,37.7726533,-122.303377,1,1,breck
McDonalds,37.77173564299396,-122.27605341467464,81,16,breck
Peet's,37.7784306,-122.2769065,21,6,breck
Left Bank,37.79425867696447,-122.2747518238091,5,1,breck
Wholefoods,37.7901009,-122.4230419,50,57,breck
Starbucks,37.7859181,-122.4211365,13,11,breck
Haraz Coffee,37.78816544489877,-122.42346293424697,41,20,breck
The Interval,37.80658666276493,-122.43207422001989,32,32,breck
Kopiku Coffee,37.8009905,-122.4253704,50,40,breck
Peets,37.78143958113662,-122.42049033402779,17,7,breck
San Francisco Public Library,37.7790549,-122.41601,140,101,breck
Turtle Bay,21.7052435,-157.998366,6,18,breck
Polynesian Hostel Beach Club,21.2723115,-157.8214705,55,10,breck
Sheraton Princess,21.2774905,-157.8261179,12,10,breck
Knots Coffee Roasters,21.272038,-157.8210867,13,7,breck
Royal Hawaiian Center,21.27805953191319,-157.82835828926363,23,4,breck
Denny's,21.2784592,-157.8315482,20,4,breck
